Timeslot,Begin,End,Node per round,Total node,Node filter by PoD,Percentage Winner,Distance average,Previous distance average,Alpha
600,0,599.9,20,20,5,0.5555555555555556,5685.3444516037,1,0.00017589083801561466
600,600,1199.9,20,20,3,0.5,5679.191915524969,5685.3444516037,0.9989178252731907
599,1200,1798.9,20,20,7,0.7,5488.347650194389,5679.191915524969,0.9663958767075863
578,1799,2376.9,20,20,4,0.4,7568.014005354513,5488.347650194389,0.7252031571705971
797,2377,3173.9,20,20,3,0.3,11076.901416874109,7568.014005354513,0.6832248225867301
1166,3174,4339.9,20,20,4,0.4444444444444444,14542.80159791963,11076.901416874109,0.7616758945854475
1200,4340,5539.9,20,20,9,0.9,17908.476468202323,14542.80159791963,0.8120624679459099
974,5540,6513.9,20,20,3,0.3,16659.61526601896,17908.476468202323,0.9302642408246843
1147,7561,8707.9,20,20,1,0.1,19892.6326708906,18257.711097725612,0.9178127098502447
1200,8708,9907.9,20,20,7,0.7777777777777778,21278.747738022455,19892.6326708906,0.9348591804274723
1047,6514,7560.9,20,20,3,0.3333333333333333,18257.711097725612,16659.61526601896,0.9124700887667276
1121,9908,11028.9,20,20,3,0.25,22320.526303932664,21278.747738022455,0.9533264336277475
1175,11029,12203.9,20,20,6,0.6666666666666666,20155.643798001438,22320.526303932664,0.9030093432183186
1061,12204,13264.9,20,20,8,0.7272727272727273,21241.67979330154,20155.643798001438,0.9488724052961867
1006,13265,14270.9,20,20,2,0.2222222222222222,18984.02353086745,21241.67979330154,0.8937157379076003
1125,14271,15395.9,20,20,8,1,17391.96824688604,18984.02353086745,0.9161370991037399
1030,15396,16425.9,20,20,11,0.9166666666666666,14625.748902802448,17391.96824688604,0.8409484593798708
866,16426,17291.9,20,20,9,0.9,9229.415762105415,14625.748902802448,0.6310388495960683
546,17292,17837.9,20,20,0,0,9483.948967524799,9229.415762105415,0.9731616854655204
561,17838,18398.9,20,20,5,0.5555555555555556,11055.61158599922,9483.948967524799,0.8578402826249099
481,18399,18879.9,20,20,4,0.4,10664.73109567975,11055.61158599922,0.9646441549362607
498,18880,19377.9,20,20,10,0.9090909090909091,9965.320670175472,10664.73109567975,0.9344183721812164
465,19378,19842.9,20,20,8,0.8,7425.695179919545,9965.320670175472,0.7451536609497577
346,19843,20188.9,20,20,2,0.2222222222222222,7034.934213830794,7425.695179919545,0.9473771873715687
365,20189,20553.9,20,20,10,1,7136.592041197441,7034.934213830794,0.9857554100360779
359,20554,20912.9,20,20,0,0,7025.244060572157,7136.592041197441,0.9843975976232766
364,20913,21276.9,20,20,11,0.8461538461538461,7579.178964021266,7025.244060572157,0.926913600262157
337,21277,21613.9,20,20,6,0.75,4795.857529735984,7579.178964021266,0.6327674214452719
300,21614,21913.9,20,20,1,0.1,5510.7885079800835,4795.857529735984,0.8702670267224337
344,21914,22257.9,20,20,6,0.6666666666666666,6040.695652142358,5510.7885079800835,0.9122771325229172
313,22258,22570.9,20,20,1,0.1111111111111111,5973.665185014388,6040.695652142358,0.9889035185700512
316,22571,22886.9,20,20,2,0.2,5484.6471633141755,5973.665185014388,0.9181376915922624
344,22887,23230.9,20,20,7,0.7777777777777778,5568.5795934581965,5484.6471633141755,0.9849274974460952
338,23231,23568.9,20,20,6,0.6,6228.421811829694,5568.5795934581965,0.8940594843595445
302,23569,23870.9,20,20,8,0.8888888888888888,6045.720749659365,6228.421811829694,0.9706665560409984
300,23871,24170.9,20,20,10,0.9090909090909091,6179.7808883606795,6045.720749659365,0.9783066517853715
300,24171,24470.9,20,20,4,0.4,5603.68689172536,6179.7808883606795,0.9067776014971073
330,24471,24800.9,20,20,2,0.18181818181818182,5860.65886527518,5603.68689172536,0.9561530572829623
345,24801,25145.9,20,20,5,0.625,5959.215612312517,5860.65886527518,0.9834614564316643
339,25146,25484.9,20,20,4,0.36363636363636365,6628.715041679922,5959.215612312517,0.8990001191546569
377,25485,25861.9,20,20,9,1,6387.863540384811,6628.715041679922,0.9636654314175992
363,25862,26224.9,20,20,7,0.6363636363636364,6683.750856775744,6387.863540384811,0.9557303492108816
346,26225,26570.9,20,20,0,0,6326.530861196819,6683.750856775744,0.9465539630016597
365,26571,26935.9,20,20,1,0.1,7110.192018831587,6326.530861196819,0.8897834045045176
410,26936,27345.9,20,20,10,1,5383.969386771036,7110.192018831587,0.7572185635087503
310,27346,27655.9,20,20,8,1,4721.453464111134,5383.969386771036,0.8769465658018466
300,27656,27955.9,20,20,1,0.1,5713.651380537259,4721.453464111134,0.8263460875814185
363,27956,28318.9,20,20,1,0.1111111111111111,6174.1894003456355,5713.651380537259,0.9254091525305985
392,28319,28710.9,20,20,1,0.1111111111111111,7236.193744773182,6174.1894003456355,0.8532371600477601
459,28711,29169.9,20,20,3,0.3,8183.650621801646,7236.193744773182,0.8842256444203039
519,29170,29688.9,20,20,7,0.7777777777777778,8975.0215851841,8183.650621801646,0.911825174360712
473,29689,30161.9,20,20,3,0.3,9136.922390128824,8975.0215851841,0.98228059755442
481,30162,30642.9,20,20,4,0.5,9055.916734500894,9136.922390128824,0.9911342515379745
476,30643,31118.9,20,20,6,0.5454545454545454,9900.829116899786,9055.916734500894,0.9146624618581988
435,31119,31553.9,20,20,1,0.1111111111111111,7818.472059114266,9900.829116899786,0.789678517506061
550,31554,32103.9,20,20,4,0.4,7896.857364352452,7818.472059114266,0.9900738608256965
555,32104,32658.9,20,20,3,0.3,7998.7115195908755,7896.857364352452,0.987266179685446
562,32659,33220.9,20,20,9,0.9,9439.653934259853,7998.7115195908755,0.8473521990632213
476,33221,33696.9,20,20,9,1,9086.700959354155,9439.653934259853,0.9626095429595457
458,33697,34154.9,20,20,10,1,9376.053197021005,9086.700959354155,0.9691392282459763
443,34155,34597.9,20,20,6,0.6666666666666666,8740.299793377842,9376.053197021005,0.9321939210151713
412,34598,35009.9,20,20,11,1,8628.569866856846,8740.299793377842,0.9872166940308329
406,35010,35415.9,20,20,1,0.1111111111111111,7661.96642396648,8628.569866856846,0.8879764019060469
457,35416,35872.9,20,20,4,0.36363636363636365,8492.411376144955,7661.96642396648,0.902213291914805
506,35873,36378.9,20,20,8,0.8888888888888888,4605.132676257912,8492.411376144955,0.5422644373061878
